S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
157,MHCL,39.32,393.20,398.00,390.00,394.00,394.00,0.00,0.00,393.34,"30,515.00",393.20,"12,002,698.10",279,0.80,8.00,0.20,2.05,0.17,398.43,416.92,550.00,325.00
158,MHL,41.62,563.00,572.00,552.00,554.80,554.80,0.00,0.00,555.62,"61,723.00",561.00,"34,294,696.80",368,-6.20,20.00,-1.11,3.62,-0.15,500.64,530.81,751.00,445.00
159,MHNL,42.87,322.00,324.00,304.60,317.90,317.90,0.00,0.00,313.25,"147,712.00",323.50,"46,270,935.60",610,-5.60,19.40,-1.73,6.37,1.46,257.21,261.59,324.00,226.00
160,MKCL,45.78,"1,400.00","1,428.00","1,390.30","1,427.00","1,427.00",0.00,0.00,"1,411.69","10,261.00","1,387.00","14,485,347.50",200,40.00,37.70,2.88,2.71,1.07,"1,432.53","1,473.52","1,900.00","1,333.00"
161,MKHC,36.33,368.30,368.30,350.00,358.00,358.00,0.00,0.00,356.16,"102,849.00",361.10,"36,630,927.90",434,-3.10,18.30,-0.86,5.23,0.51,370.28,391.73,546.00,310.70
162,MKHL,32.28,809.80,842.00,795.00,818.00,818.00,0.00,0.00,807.85,"9,680.00",825.00,"7,819,961.10",144,-7.00,47.00,-0.85,5.91,1.24,793.11,797.72,"1,027.00",652.00
163,MKJC,33.37,536.10,550.00,536.10,542.10,542.10,0.00,0.00,544.29,"58,236.00",547.00,"31,697,248.60",323,-4.90,13.90,-0.90,2.59,-0.40,547.06,542.75,635.00,475.50
164,MLBBL,45.05,"1,383.90","1,411.00","1,360.00","1,395.00","1,395.00",0.00,0.00,"1,385.47","14,210.00","1,357.00","19,687,581.30",186,38.00,51.00,2.80,3.75,0.68,"1,439.60","1,466.99","1,782.00","1,285.00"
165,MLBL,45.77,405.00,418.00,405.00,412.00,412.00,0.00,0.00,412.43,"195,252.00",405.10,"80,527,660.70",659,6.90,13.00,1.70,3.21,-0.10,379.17,386.12,468.60,348.90
166,MLBLD89,46.61,"1,212.10","1,305.00","1,212.10","1,305.00","1,305.00",0.00,0.00,"1,304.21",169.00,"1,212.10","220,411.70",4,92.90,92.90,7.66,7.66,0.06,"1,202.47",0.00,"1,350.00","1,159.00"
167,MLBS,50.23,"1,528.00","1,571.00","1,490.00","1,550.00","1,550.00",0.00,0.00,"1,533.47","3,929.00","1,500.00","6,024,988.50",99,50.00,81.00,3.33,5.44,1.07,"1,500.68","1,541.36","1,900.00","1,395.00"
168,MLBSL,40.58,"1,958.20","1,960.00","1,895.00","1,960.00","1,960.00",0.00,0.00,"1,944.86","3,312.00","1,919.90","6,441,377.40",90,40.10,65.00,2.09,3.43,0.77,"1,995.49","2,078.17","2,435.50","1,808.40"
169,MMF1,49.66,9.50,9.88,9.50,9.88,9.88,0.00,0.00,9.71,"241,871.00",9.43,"2,349,086.94",139,0.45,0.38,4.77,4.00,1.70,8.90,8.98,9.95,8.05
170,MMKJL,43.63,581.00,604.40,573.30,582.50,582.50,0.00,0.00,582.69,"18,260.00",585.00,"10,639,982.30",140,-2.50,31.10,-0.43,5.42,-0.03,596.39,593.50,732.90,528.20
171,MNBBL,45.14,408.00,411.00,405.00,408.00,408.00,0.00,0.00,408.49,"239,204.00",400.10,"97,712,921.90","1,048",7.90,6.00,1.97,1.48,-0.12,380.41,387.40,503.00,340.10
172,MNMF1,52.61,9.57,10.00,9.57,9.84,9.84,0.00,0.00,9.93,"69,220.00",9.74,"687,131.00",68,0.10,0.43,1.03,4.49,-0.88,9.17,9.21,10.11,8.53
173,MPFL,37.37,723.00,735.00,711.00,725.00,725.00,0.00,0.00,720.07,"99,793.00",725.00,"71,858,321.10",341,0.00,24.00,0.00,3.38,0.68,592.22,599.26,735.00,491.00
174,MSHL,36.19,824.00,824.00,800.00,800.00,800.00,0.00,0.00,804.49,"5,503.00",808.00,"4,427,105.20",75,-8.00,24.00,-0.99,3.00,-0.56,870.31,877.59,979.00,782.00
175,MSLB,47.84,"1,340.00","1,391.00","1,325.00","1,386.00","1,386.00",0.00,0.00,"1,372.72","9,945.00","1,347.80","13,651,662.00",161,38.20,66.00,2.83,4.98,0.96,"1,376.23","1,356.51","1,710.00","1,130.20"
176,NABBC,29.07,"1,500.00","1,588.00","1,450.00","1,478.00","1,478.00",0.00,0.00,"1,492.84","27,219.00","1,500.00","40,633,538.30",305,-22.00,138.00,-1.47,9.52,-1.00,"1,127.95","1,294.25","2,040.00",662.00
177,NABIL,43.51,545.00,545.90,537.00,542.10,542.10,0.00,0.00,542.68,"178,526.00",535.20,"96,882,442.00","1,249",6.90,8.90,1.29,1.66,-0.11,506.82,508.53,562.00,471.00
178,NADEP,48.07,805.00,871.00,805.00,864.70,864.70,0.00,0.00,852.22,"20,768.00",801.30,"17,699,003.90",210,63.40,66.00,7.91,8.20,1.44,786.27,817.78,"1,046.00",696.00
179,NBF2,39.75,10.00,10.18,10.00,10.08,10.08,0.00,0.00,10.11,"39,800.00",10.02,"402,513.00",17,0.06,0.18,0.60,1.80,-0.33,9.59,9.78,11.10,8.89
180,NBF3,47.56,9.85,9.95,9.75,9.87,9.87,0.00,0.00,9.88,"92,012.00",9.85,"909,157.84",60,0.02,0.20,0.20,2.05,-0.11,9.34,9.54,10.67,8.35
181,NBL,47.20,280.00,285.00,278.00,282.60,282.60,0.00,0.00,281.57,"366,175.00",274.70,"103,102,825.80","1,234",7.90,7.00,2.88,2.52,0.37,246.28,254.35,313.00,225.40
182,NBLD82,51.72,"1,080.00","1,080.00","1,080.00","1,080.00","1,080.00",0.00,0.00,"1,080.00",507.00,"1,060.00","547,560.00",5,20.00,0.00,1.89,0.00,0.00,"1,072.40","1,041.93","1,140.00","1,042.50"
183,NBLD87,51.19,"1,060.00","1,124.00","1,060.00","1,124.00","1,124.00",0.00,0.00,"1,117.97",276.00,"1,075.10","308,559.00",4,48.90,64.00,4.55,6.04,0.54,"1,079.02","1,065.38","1,150.00","1,010.10"
184,NCCD86,47.50,"1,120.00","1,165.20","1,120.00","1,165.20","1,165.20",0.00,0.00,"1,165.09",211.00,"1,120.00","245,834.40",2,45.20,45.20,4.04,4.04,0.01,"1,110.91","1,080.85","1,230.00","1,052.40"
185,NESDO,44.67,"1,631.90","1,658.00","1,586.00","1,645.00","1,645.00",0.00,0.00,"1,633.56","5,236.00","1,600.00","8,553,310.40",123,45.00,72.00,2.81,4.54,0.70,"1,524.10","1,565.96","1,894.00","1,380.10"
186,NFS,45.89,674.50,684.00,665.10,684.00,684.00,0.00,0.00,677.31,"50,988.00",663.00,"34,534,905.40",436,21.00,18.90,3.17,2.84,0.98,645.54,658.17,851.00,576.00
187,NGPL,45.01,473.10,484.90,467.00,484.00,484.00,0.00,0.00,475.87,"1,533,718.00",474.00,"729,842,909.40","2,894",10.00,17.90,2.11,3.83,1.68,401.82,402.88,484.90,254.80
188,NHDL,33.29,689.00,690.00,677.00,680.00,680.00,0.00,0.00,680.66,"9,662.00",677.50,"6,576,513.50",99,2.50,13.00,0.37,1.92,-0.10,682.75,688.53,882.30,623.00
189,NHPC,42.51,318.20,325.30,305.00,315.00,315.00,0.00,0.00,314.40,"2,477,027.00",312.00,"778,773,370.30","4,272",3.00,20.30,0.96,6.66,0.19,205.43,209.16,327.40,178.60
190,NIBD2082,35.91,"1,020.00","1,020.00","1,020.00","1,020.00","1,020.00",0.00,0.00,"1,020.00",310.00,"1,014.30","316,200.00",3,5.70,0.00,0.56,0.00,0.00,"1,078.82","1,068.57","1,170.00","1,014.30"
